Cooling Rate	Total Wire Length
25.95	100.44
20.76	100.44
16.608	100.44
13.2864	100.44
10.6291	100.44
8.50331	100.44
6.80265	100.44
5.44212	100.44
4.35369	100.44
3.48295	100.44
2.78636	100.44
2.22909	100.44
1.78327	100.44
1.42662	100.44
1.14129	100.44
0.913036	100.44
0.730429	100.44
0.584343	100.44
0.467474	100.44
0.373979	100.44
0.299184	100.44
0.239347	99.3093
0.191477	99.3093
0.153182	99.3093
0.122546	99.3093
0.0980365	99.3093
0.0784292	99.3093
0.0627433	99.3093
0.0501947	99.3093
0.0401557	99.3093
0.0321246	99.3093
0.0256997	95.799
0.0205597	95.799
0.0164478	91.7887
0.0131582	91.7887
0.0105266	91.7887
0.00842127	91.7887
0.00673701	91.7887
0.00538961	91.7887
0.00431169	91.7887
0.00344935	91.7887
0.00275948	91.7887
0.00220758	91.7887
0.00176607	91.7887
0.00141285	91.7887
0.00113028	91.7887
0.000904227	90.951
0.000723381	90.951
0.000578705	89.7149
0.000462964	89.7149
0.000370371	89.7149
0.000296297	89.7149
0.000237038	89.7149
0.00018963	87.0647
0.000151704	86.145
0.000121363	86.145
9.70906e-005	86.145
7.76725e-005	86.145
6.2138e-005	86.145
4.97104e-005	86.145
3.97683e-005	81.0336
3.18146e-005	81.0336
2.54517e-005	81.0336
2.03614e-005	81.0336
1.62891e-005	81.0336
1.30313e-005	81.0336
1.0425e-005	81.0336
8.34002e-006	81.0336
6.67202e-006	81.0336
5.33761e-006	81.0336
4.27009e-006	81.0336
3.41607e-006	81.0336
2.73286e-006	81.0336
2.18629e-006	81.0336
1.74903e-006	81.0336
1.39922e-006	79.428
1.11938e-006	78.8422
8.95503e-007	78.8422
7.16402e-007	78.8422
5.73122e-007	78.8422
4.58497e-007	78.8422
3.66798e-007	78.8422
2.93438e-007	78.8422
2.34751e-007	78.8422
1.87801e-007	78.4478
1.5024e-007	75.3898
1.20192e-007	75.3898
9.61539e-008	73.5521
7.69231e-008	73.5521
6.15385e-008	73.5521
4.92308e-008	73.5521
3.93846e-008	73.5521
3.15077e-008	73.5521
2.52062e-008	73.5521
2.01649e-008	73.5521
1.61319e-008	73.5521
1.29056e-008	73.5521
1.03244e-008	73.5521
8.25956e-009	73.5521
6.60764e-009	73.5521
5.28612e-009	73.5521
4.22889e-009	73.4253
3.38311e-009	73.4253
2.70649e-009	73.4253
2.16519e-009	73.4253
1.73215e-009	73.4253
1.38572e-009	73.027
1.10858e-009	73.027
8.86863e-010	73.027
7.0949e-010	73.027
5.67592e-010	73.027
4.54074e-010	73.027
3.63259e-010	73.027
2.90607e-010	73.027
2.32486e-010	73.027
1.85989e-010	73.027
1.48791e-010	73.027
1.19033e-010	73.027
9.52262e-011	73.027
7.61809e-011	73.027
6.09448e-011	70.5074
4.87558e-011	70.5074
3.90046e-011	70.2713
3.12037e-011	68.2713
2.4963e-011	68.2713
1.99704e-011	67.3517
1.59763e-011	67.3517
1.2781e-011	67.3517
1.02248e-011	67.3517
8.17987e-012	67.3517
6.54389e-012	67.3517
5.23511e-012	67.3517
4.18809e-012	67.3517
3.35047e-012	67.3517
2.68038e-012	67.3517
2.1443e-012	67.3517
1.71544e-012	67.3517
1.37235e-012	67.3517
1.09788e-012	67.3517
8.78307e-013	67.3517
7.02645e-013	65.9309
5.62116e-013	65.9309
4.49693e-013	65.9309
3.59754e-013	65.9309
2.87803e-013	65.9309
2.30243e-013	65.9309
1.84194e-013	65.9309
1.47355e-013	65.9309
1.17884e-013	65.9309
9.43074e-014	65.9309
7.5446e-014	65.9309
6.03568e-014	64.9309
4.82854e-014	64.9309
3.86283e-014	62.5035
3.09027e-014	62.5035
2.47221e-014	62.5035
1.97777e-014	62.5035
1.58222e-014	62.5035
1.26577e-014	62.5035
1.01262e-014	62.5035
8.10095e-015	62.5035
6.48076e-015	62.5035
5.18461e-015	62.5035
4.14769e-015	62.5035
3.31815e-015	62.5035
2.65452e-015	62.5035
2.12361e-015	62.5035
1.69889e-015	62.5035
1.35911e-015	62.5035
1.08729e-015	62.5035
8.69833e-016	62.5035
6.95866e-016	62.5035
5.56693e-016	62.5035
4.45354e-016	62.5035
3.56283e-016	62.5035
2.85027e-016	62.5035
2.28021e-016	62.5035
1.82417e-016	62.5035
1.45934e-016	61.9177
1.16747e-016	61.9177
9.33976e-017	61.9177
7.47181e-017	61.9177
5.97744e-017	61.9177
4.78196e-017	61.9177
3.82556e-017	61.0959
3.06045e-017	61.0959
2.44836e-017	61.0959
1.95869e-017	61.0959
1.56695e-017	61.0959
1.25356e-017	61.0959
1.00285e-017	61.0959
8.02279e-018	61.0959
6.41823e-018	61.0959
5.13459e-018	61.0959
4.10767e-018	61.0959
3.28613e-018	61.0959
2.62891e-018	61.0959
2.10313e-018	61.0959
1.6825e-018	61.0959
1.346e-018	61.0959
1.0768e-018	61.0959
8.61441e-019	61.0959
6.89152e-019	61.0959
5.51322e-019	61.0959
4.41058e-019	61.0959
0.8	61.0959
63971.8	127.944
54376	127.944
46219.6	127.944
39286.7	127.944
33393.7	127.944
28384.6	127.944
24126.9	127.944
20507.9	127.944
17431.7	127.944
14816.9	122.658
12594.4	122.658
10705.2	115.394
9099.46	112.531
7734.54	112.531
6574.36	111.5
5588.2	111.5
4749.97	106.199
4037.48	106.199
3431.86	102.45
2917.08	102.45
2479.52	100.44
2107.59	100.44
1791.45	100.44
1522.73	100.44
1294.32	100.44
1100.17	100.44
935.148	100.44
794.876	100.44
675.645	100.44
574.298	100.44
488.153	100.44
414.93	100.44
352.691	100.44
299.787	100.44
254.819	100.44
216.596	100.44
184.107	100.44
156.491	100.44
133.017	100.44
113.065	100.44
96.1049	100.44
81.6891	100.44
69.4358	100.44
59.0204	100.44
50.1673	100.44
42.6422	100.44
36.2459	100.44
30.809	100.44
26.1877	100.44
22.2595	100.44
18.9206	100.44
16.0825	100.44
13.6701	100.44
11.6196	100.44
9.87667	100.44
8.39517	100.44
7.13589	100.44
6.06551	100.44
5.15568	100.44
4.38233	100.44
3.72498	100.44
3.16623	100.44
2.6913	100.44
2.2876	100.44
1.94446	100.44
1.65279	100.44
1.40487	100.44
1.19414	100.44
1.01502	92.7844
0.862768	92.7844
0.733353	92.7844
0.62335	92.7844
0.529848	92.7844
0.450371	91.704
0.382815	91.704
0.325393	91.704
0.276584	91.704
0.235096	91.704
0.199832	91.704
0.169857	91.704
0.144378	91.704
0.122722	91.704
0.104313	91.704
0.0886664	91.704
0.0753665	91.704
0.0640615	91.704
0.0544523	91.3448
0.0462844	91.3448
0.0393418	91.3448
0.0334405	91.3448
0.0284244	91.3448
0.0241608	91.3448
0.0205366	91.3448
0.0174562	89.2167
0.0148377	89.2167
0.0126121	88.379
0.0107203	88.379
0.00911222	88.379
0.00774539	87.5654
0.00658358	86.9598
0.00559604	86.9598
0.00475664	86.9598
0.00404314	86.9598
0.00343667	81.7238
0.00292117	81.7238
0.00248299	81.7238
0.00211054	81.7238
0.00179396	81.7238
